Timestamp,Source,Destination,TunnelType,PacketSize,PacketType,Name,FreshnessPeriod,MustBeFresh,Nonce,InterestLifetime
1472064887.363058,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946024,1000,,,
1472064887.363103,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185648,1000,,,
1472064887.363147,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994088,,1,1382372772,4000
1472064887.363227,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500758,,1,1201480046,4000
1472064887.363247,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994088,1000,,,
1472064887.363343,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500758,1000,,,
1472064887.363369,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135188,,1,2666057804,4000
1472064887.363424,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774362,,1,3946283127,4000
1472064887.363466,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135188,1000,,,
1472064887.363556,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774362,1000,,,
1472064887.363711,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957289,,1,4159238343,4000
1472064887.363733,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153099,,1,3325938030,4000
1472064887.363773,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728744,,1,1394755244,4000
1472064887.363811,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957289,1000,,,
1472064887.363833,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940917,,1,1521520794,4000
1472064887.363854,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153099,1000,,,
1472064887.363857,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946025,,1,4119892309,4000
1472064887.363916,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185649,,1,704595484,4000
1472064887.364029,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728744,1000,,,
1472064887.364069,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940917,1000,,,
1472064887.364104,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946025,1000,,,
1472064887.364189,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994089,,1,3638015764,4000
1472064887.364205,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185649,1000,,,
1472064887.364278,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500759,,1,1870203825,4000
1472064887.364298,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994089,1000,,,
1472064887.364387,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500759,1000,,,
1472064887.364406,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135189,,1,3734577447,4000
1472064887.364435,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774363,,1,1701855903,4000
1472064887.364499,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135189,1000,,,
1472064887.364535,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774363,1000,,,
1472064887.364739,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957290,,1,2212971505,4000
1472064887.364763,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153100,,1,1525283175,4000
1472064887.364801,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728745,,1,3139285813,4000
